Title: Hr

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.062564 48.6718 1.40543 14.916 2.53933 9.82703 0.196813 7.50643 11.053 2.35105 0.356099 0.157247 1.01976
500.00 1513.15 98.063215 48.6715 1.40542 14.9159 2.54593 9.821 0.196812 7.50638 11.053 2.35103 0.356097 0.157246 1.01975
500.00 1503.15 98.063906 48.6711 1.40541 14.9158 2.55295 9.8146 0.19681 7.50633 11.0529 2.35102 0.356094 0.157244 1.01974
500.00 1493.15 98.064638 48.6708 1.4054 14.9157 2.56038 9.80782 0.196809 7.50627 11.0528 2.351 0.356092 0.157243 1.01974
500.00 1483.15 98.065412 48.6704 1.40539 14.9156 2.56825 9.80065 0.196807 7.50621 11.0527 2.35098 0.356089 0.157242 1.01973
500.00 1473.15 98.066231 48.67 1.40538 14.9154 2.57656 9.79307 0.196806 7.50615 11.0526 2.35096 0.356086 0.157241 1.01972
500.00 1463.15 98.067095 48.6695 1.40536 14.9153 2.58533 9.78507 0.196804 7.50609 11.0525 2.35094 0.356083 0.157239 1.01971
500.00 1453.15 98.068006 48.6691 1.40535 14.9152 2.59457 9.77664 0.196802 7.50602 11.0524 2.35092 0.356079 0.157238 1.0197
500.00 1443.15 98.068964 48.6686 1.40534 14.915 2.60431 9.76777 0.1968 7.50594 11.0523 2.3509 0.356076 0.157236 1.01969
500.00 1433.15 98.069973 48.6681 1.40532 14.9149 2.61454 9.75843 0.196798 7.50587 11.0522 2.35087 0.356072 0.157235 1.01968
500.00 1423.15 97.596225 48.7128 1.41214 14.9873 2.62494 9.72728 0.196118 7.33305 11.1037 2.36228 0.357801 0.157998 1.02463
500.00 1413.15 93.664049 48.6959 1.44533 15.4154 2.64121 9.87116 0.203258 6.90793 10.7599 2.4548 0.372822 0.164631 1.06765
500.00 1403.15 88.114517 48.7192 1.50159 15.6868 2.68631 10.1569 0.214207 6.46707 10.2893 2.57302 0.395725 0.175 1.13489
