Title: Hr

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 98.271532 48.6086 1.37558 15.4532 2.51391 9.99137 0.199549 7.35442 10.7378 2.24053 0.353205 0.154266 1.01759
500.00 1513.15 98.272180 48.6083 1.37557 15.4531 2.52049 9.98537 0.199548 7.35437 10.7377 2.24051 0.353203 0.154265 1.01758
500.00 1503.15 98.272869 48.6079 1.37556 15.453 2.52747 9.97901 0.199546 7.35432 10.7377 2.2405 0.3532 0.154264 1.01757
500.00 1493.15 98.273599 48.6076 1.37555 15.4529 2.53486 9.97226 0.199545 7.35426 10.7376 2.24048 0.353198 0.154263 1.01757
500.00 1483.15 98.274372 48.6072 1.37554 15.4528 2.54269 9.96512 0.199543 7.35421 10.7375 2.24046 0.353195 0.154262 1.01756
500.00 1473.15 98.275188 48.6068 1.37553 15.4526 2.55096 9.95758 0.199542 7.35415 10.7374 2.24044 0.353192 0.154261 1.01755
500.00 1463.15 98.276050 48.6063 1.37551 15.4525 2.55969 9.94962 0.19954 7.35408 10.7373 2.24042 0.353189 0.154259 1.01754
500.00 1453.15 98.276958 48.6059 1.3755 15.4524 2.56889 9.94123 0.199538 7.35401 10.7372 2.2404 0.353186 0.154258 1.01753
500.00 1443.15 98.277914 48.6054 1.37549 15.4522 2.57857 9.93239 0.199536 7.35394 10.7371 2.24038 0.353182 0.154256 1.01752
500.00 1433.15 98.278920 48.6049 1.37547 15.452 2.58876 9.9231 0.199534 7.35387 10.737 2.24036 0.353178 0.154255 1.01751
500.00 1423.15 98.006594 48.6303 1.37929 15.495 2.59905 9.90076 0.199149 7.25502 10.7656 2.24658 0.35416 0.154683 1.02034
500.00 1413.15 96.894565 48.7011 1.39295 15.6547 2.60856 9.86584 0.198658 6.9454 10.8142 2.27179 0.358224 0.156459 1.03205
