Title: Hr

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-NNO rhol rhos viscosity aH2O chisqr
500.00 1523.15 100.111287 0.9979712370608289 0.932201 288.997004 -1191019.595185 42.444265 -6206.619803 6984.898281 152.019731 -7.007 0.000 2.525064 0.070579 1.570 0.999806 0.000
500.00 1513.15 100.111922 0.9980142260232535 0.933934 287.995898 -1192550.560223 42.322344 -6047.618137 6945.754546 152.016378 -7.116 0.000 2.527765 0.071100 1.606 0.999803 0.000
500.00 1503.15 100.112597 0.9980580203945737 0.935683 286.988202 -1194082.125811 42.200260 -5887.988415 6905.674005 152.013215 -7.225 0.000 2.530466 0.071630 1.643 0.9998 0.000
500.00 1493.15 100.113312 0.9981026403351464 0.937449 285.973824 -1195614.316056 42.078014 -5727.720402 6864.626861 152.010248 -7.336 0.000 2.533169 0.072169 1.680 0.999796 0.000
500.00 1483.15 100.114069 0.9981481066096359 0.939231 284.952672 -1197147.156061 41.955609 -5566.803749 6822.581908 152.007482 -7.449 0.000 2.535873 0.072718 1.717 0.999792 0.000
500.00 1473.15 100.114869 0.9981944407427948 0.941031 283.939729 -1198658.406350 41.833045 -5405.227631 6779.506322 148.751860 -7.563 0.000 2.538577 0.073277 1.755 0.999788 0.000
500.00 1463.15 100.115713 0.9982416651980064 0.942847 282.926929 -1200160.048210 41.710326 -5242.980348 6735.365429 148.741107 -7.679 0.000 2.541282 0.073846 1.794 0.999784 0.000
500.00 1453.15 100.116603 0.9982898027159108 0.944681 281.907278 -1201662.330110 41.587455 -5080.051171 6690.123233 148.730024 -7.796 0.000 2.543988 0.074425 1.833 0.99978 0.000
500.00 1443.15 100.117541 0.9983388766841845 0.946533 280.880681 -1203165.275638 41.464434 -4916.429397 6643.742000 148.718608 -7.915 0.000 2.546694 0.075015 1.872 0.999775 0.000
500.00 1433.15 100.118527 0.9983889111840920 0.948402 279.847042 -1204668.909529 41.341268 -4752.104293 6596.182123 148.706857 -8.035 0.000 2.549400 0.075616 1.912 0.999771 0.000
500.00 1423.15 100.119564 0.9984399310070694 0.950289 278.806262 -1206173.257725 41.217960 -4587.065123 6547.402013 148.694764 -8.157 0.000 2.552107 0.076229 1.953 0.999766 0.000
500.00 1413.15 100.120653 0.9984919616726794 0.952194 277.758241 -1207678.347436 41.094516 -4421.301172 6497.357980 148.682328 -8.281 0.000 2.554813 0.076854 1.994 0.999761 0.000
500.00 1403.15 100.120832 0.9950768183436937 0.951059 276.605226 -1209304.939207 40.981552 -4296.309968 6453.943175 148.487634 -8.407 0.000 2.556144 0.245757 2.045 0.999762 0.000
500.00 1393.15 100.119835 0.9847089446644308 0.943061 275.253382 -1211177.840367 40.909109 -4315.429102 6450.798152 147.970913 -8.535 0.000 2.555454 0.657249 2.112 0.99977 0.000
500.00 1383.15 100.122644 0.9313376539939424 0.884156 272.720354 -1214742.337692 41.327266 -5985.599073 7015.907988 145.953903 -8.664 0.000 2.551961 1.435951 2.191 0.99975 0.000
